date,headline,realized_volatility
2020-01-01,"Tesla CEO resigns, stock price rise",1.1188
2020-01-02,Financial stocks drops amid geopolitical tensions,1.1918
2020-01-03,"Apple announces buyback program, shares fall",4.4246
2020-01-04,Trading volume spikes for Nvidia on merger news,0.8839
2020-01-05,"Meta announces buyback program, shares jump",0.3157
2020-01-06,Trading volume spikes for Nvidia on regulatory approval,0.6875
2020-01-07,"Nvidia reports surprising quarterly earnings, meeting analyst expectations",60.8971
2020-01-08,"Microsoft faces regulatory scrutiny, analysts revise outlook",0.8382
2020-01-09,"Amazon CEO appointed, stock price jump",1.0501
2020-01-10,"Employment falls, markets rise",1.5374
2020-01-11,Market volatility rises as inflation concerns,1.381
2020-01-12,"Apple reports record quarterly earnings, missing analyst expectations",2.5843
2020-01-13,Market volatility surges as geopolitical tensions,4.3417
2020-01-14,Trading volume spikes for Apple on merger news,0.241
2020-01-15,Healthcare stocks surges amid geopolitical tensions,3.5948
2020-01-16,"Federal Reserve signals dovish stance, stability expected",5.1787
2020-01-17,"Nvidia announces dividend increase, shares decline",5.2252
2020-01-18,"Federal Reserve signals dovish stance, stability expected",3.3329
2020-01-19,"Federal Reserve maintains policy, volatility expected",2.986
2020-01-20,"Microsoft CEO announces strategy shift, stock price rise",0.772
2020-01-21,"Nvidia faces competition, analysts revise outlook",2.1981
2020-01-22,Market volatility spikes as geopolitical tensions,1.7517
2020-01-23,Market volatility surges as inflation concerns,1.3896
2020-01-24,"Microsoft faces regulatory scrutiny, analysts upgrade",12.2466
2020-01-25,"Federal Reserve raises rates, volatility expected",2.293
2020-01-26,"Tesla CEO announces strategy shift, stock price jump",0.9249
2020-01-27,Healthcare stocks plunges amid inflation concerns,4.7651
2020-01-28,"Amazon faces regulatory scrutiny, analysts upgrade",2.13
2020-01-29,Amazon stock falls 10% on earnings report,0.3992
2020-01-30,"Nvidia CEO appointed, stock price soar",0.9194
2020-01-31,"Retail sales exceeds expectations, markets tumble",2.2225
2020-02-01,Energy stocks drops amid inflation concerns,3.1039
2020-02-02,"Meta CEO appointed, stock price jump",3.2465
2020-02-03,"Tesla announces dividend increase, shares tumble",2.6302
2020-02-04,"Tesla faces competition, analysts downgrade",3.0652
2020-02-05,Tech stocks falls amid recession fears,3.238
2020-02-06,"Meta faces scandal, analysts maintain rating",0.2552
2020-02-07,"Google announces buyback program, shares tumble",4.6293
2020-02-08,Financial stocks surges amid supply chain issues,4.5538
2020-02-09,Consumer stocks rallies amid inflation concerns,16.8798
2020-02-10,"Apple reports weak quarterly earnings, exceeding analyst expectations",1.4257
2020-02-11,"Nvidia CEO appointed, stock price fall",31.8274
2020-02-12,Tesla stock surges 8% on regulatory approval,2.4721
2020-02-13,Meta stock rallies 14% on regulatory approval,0.4782
2020-02-14,"Apple announces stock split, shares tumble",17.7265
2020-02-15,"Meta faces scandal, analysts downgrade",27.4957
2020-02-16,"Apple announces restructuring, shares decline",5.9672
2020-02-17,"Meta CEO resigns, stock price rise",0.9506
2020-02-18,"Employment disappoints, markets tumble",0.7252
2020-02-19,"Microsoft announces stock split, shares jump",0.8234
2020-02-20,Trading volume doubles for Nvidia on regulatory approval,4.3568
2020-02-21,Trading volume doubles for Microsoft on merger news,3.1668
2020-02-22,"Google announces stock split, shares tumble",3.1191
2020-02-23,Market volatility increases as geopolitical tensions,0.9273
2020-02-24,Market volatility surges as recession fears,3.1566
2020-02-25,Trading volume doubles for Nvidia on regulatory approval,6.6762
2020-02-26,"Amazon CEO appointed, stock price jump",6.8351
2020-02-27,"Meta reports disappointing quarterly earnings, missing analyst expectations",6.9314
2020-02-28,Healthcare stocks rallies amid inflation concerns,0.4382
2020-02-29,"Meta faces competition, analysts downgrade",11.5931
2020-03-01,"Apple faces lawsuit, analysts downgrade",0.905
2020-03-02,Energy stocks surges amid supply chain issues,1.6292
2020-03-03,Amazon stock climbs 11% on product launch,1.9869
2020-03-04,Trading volume spikes for Apple on regulatory approval,1.1178
2020-03-05,"Federal Reserve cuts rates, stability expected",0.8563
2020-03-06,"Nvidia CEO resigns, stock price rise",14.9917
2020-03-07,Trading volume drops for Microsoft on merger news,0.4892
2020-03-08,Apple stock climbs 10% on regulatory approval,15.1659
2020-03-09,"Federal Reserve cuts rates, stability expected",1.3922
2020-03-10,"Microsoft announces buyback program, shares tumble",2.2192
2020-03-11,"Google CEO resigns, stock price tumble",4.943
2020-03-12,Tesla stock climbs 5% on product launch,0.242
2020-03-13,"Nvidia CEO resigns, stock price rise",0.3105
2020-03-14,Trading volume doubles for Apple on product launch,1.8175
2020-03-15,"Google reports strong quarterly earnings, missing analyst expectations",0.5601
2020-03-16,"Apple faces regulatory scrutiny, analysts maintain rating",1.7
2020-03-17,Amazon stock drops 4% on regulatory approval,0.2048
2020-03-18,"Tesla CEO appointed, stock price jump",9.3903
2020-03-19,"Google CEO appointed, stock price decline",1.1427
2020-03-20,"Tesla CEO appointed, stock price decline",2.0885
2020-03-21,"Retail sales exceeds expectations, markets jump",0.8287
2020-03-22,"Tesla announces dividend increase, shares jump",3.724
2020-03-23,Market volatility spikes as geopolitical tensions,30.809
2020-03-24,"GDP falls, markets rise",1.2983
2020-03-25,Trading volume drops for Apple on product launch,0.1
2020-03-26,"Federal Reserve raises rates, volatility expected",1.0522
2020-03-27,"Employment falls, markets jump",1.2565
2020-03-28,"Microsoft announces buyback program, shares rise",4.0941
2020-03-29,Market volatility increases as inflation concerns,1.2408
2020-03-30,Trading volume spikes for Amazon on product launch,3.0906
2020-03-31,"Federal Reserve cuts rates, volatility expected",3.9258
2020-04-01,"Meta announces restructuring, shares jump",4.3834
2020-04-02,"Microsoft reports disappointing quarterly earnings, missing analyst expectations",16.1985
2020-04-03,"Amazon CEO appointed, stock price fall",0.2041
2020-04-04,Market volatility spikes as supply chain issues,7.7825
2020-04-05,"Retail sales exceeds expectations, markets soar",11.25
2020-04-06,"Apple announces stock split, shares soar",18.8949
2020-04-07,Nvidia stock falls 1% on product launch,4.5497
